Weapons,,,,,,,,,,,,,,,,,
WA (Clean),Stonetooth Sword,Dragon Claymore,Sparta / Carabella,Pyrope Spear,Sky Ski,Pinaka,Dragon Faltizan,Crushed Skull,Redner,Dragon Battle Axe,WA (Clean),,,,,,
86,,,,,,,,,,,86,,,,,,
87,,,,,,,,,,,87,,,,,,
88,,,,2m,,,,,,,88,,,,,,
89,,,,5m,3m,,,,,,89,,,,,,
90,,,,,11-15m,,,,,,90,,,,,,
91,,,,5-10m,,,,,,,91,,,,,,
92,,,,10-15m,20m,,,,,,92,,,,,,
93,,,,25m,25-33m,,,,,,93,,,,,,
94,,,,33-40m,43m,,,,,,94,,,,,,
95,,,,50-75m,65m,,,,,,95,,,,,,
96,,,,82m,70m,,,,,,96,,,,,,
97,,,,150-200m,100m,,,,,,97,,,,,,
98,,,,,100m,,,,,,98,,,,,,
99,800k-1m,,,,145m,,,,,,99,,,,,,
100,1-1.5m,,,380-530m,,,,,,,100,,,,,,
101,7m,,,1-1.3b,600m,,,,,,101,,,,,,
102,12-20m,,,,1b,,,,30-50m,,102,,,,,,
103,30-35m,,1m,,1.5b,,,,,,103,,,,,,
104,30-45m,10m,,,,1.1-5m,,,,,104,,,,,,
105,50-60m,33m,2m,,,,,,,,105,,,,,,
106,90-100m,45m,,,,,,,90m,,106,,,,,,
107,130m,100m,5-10m,,,3-10m,,,,,107,,,,,,
108,240m,115m,30-40m,,,,,,,,108,,,,,,
109,310m,120m,,,,,,,,,109,,,,,,
110,550-700m,160-190m,,,,44m,,,,,110,,,,,,
111,1.4b,,,,,66m,,,,,111,,,,,,
112,,,,,,80-90m,,,,,112,,,,,,
113,,,1b,,,,,8m,,,113,,,,,,
114,,900m,,,,,,,,,114,,,,,,
115,,,,,,,,,,,115,,,,,,
116,,,,,,,,14m,,,116,,,,,,
117,,,,,,,,,,,117,,,,,,
118,,,,,,,,,,,118,,,,,,
119,,,,,,,,25-30m,,,119,,,,,,
120,,,,,,,,80-85m,,,120,,,,,,
121,,,,,,,,,,,121,,,,,,
122,,,,,,,,,,,122,,,,,,
123,,,,,,,,220m,,,123,,,,,,
124,,,,,,,,,,,124,,,,,,
